gene_ID	RE_sample_size	RE_beta	RE_SE	RE_Z	RE_metaP	RE_I2	RE_H2	RE_Q_val	RE_Q_pval	RE_metaP_FDR
ENSG00000254860.5	12	0.202812927882925	0.041423215006808	4.89611749956135	9.77486330789226e-07	0	1	5.24867634433856	0.918527539974007	0.000143690490626016
ENSG00000137563.11	12	0.113954190184578	0.0233322998867957	4.88396732158698	1.03972313715985e-06	0	1	8.9035213079271	0.630797418142913	0.000151723685825545
ENSG00000165092.12	11	0.167129475214429	0.0342842315986382	4.87482050556056	1.08907433687346e-06	0.0540908026657273	1.0005412007665	7.5604987845941	0.671680240355109	0.000157773725672277
ENSG00000184995.7	2	0.439401584330599	0.0902827384437166	4.86695011587988	1.13333620664533e-06	0	1	0.941211888780578	0.331966369644366	0.000163004729807579
ENSG00000131196.17	11	-0.136157916200763	0.0280364439415396	-4.85646169980308	1.19501882681759e-06	0	1	6.80727204338095	0.743505768758544	0.000170648688469552
ENSG00000008517.16	11	0.22365009138998	0.0461227183510207	4.84902233402361	1.24071452958722e-06	36.9611819296495	1.58632415805133	15.7175412217621	0.108008644162155	0.000175917481386579
ENSG00000179397.17	3	-0.245643677953851	0.0507235465021116	-4.84279382837762	1.28026111762722e-06	0	1	1.63695707133559	0.44110226558516	0.000180246339884531
ENSG00000175772.10	9	-0.136076768901407	0.0281242347029006	-4.83841677254148	1.30877478670761e-06	0	1	6.31579357215728	0.611904097481036	0.000182972206544465
ENSG00000273729.1	10	-0.124526371361359	0.0257725013501375	-4.83175341304984	1.35335813634756e-06	0	1	3.6807955063418	0.931138993343938	0.00018789122126292
ENSG00000125247.15	11	-0.120388000825699	0.0250025589923752	-4.81502716831555	1.47179864648315e-06	0	1	5.85711094918481	0.827121834409917	0.000202925507175801
ENSG00000236017.8	12	-0.154804809957023	0.0321900575891488	-4.80908769822168	1.51620681023401e-06	0	1	9.85250704841355	0.54370113316378	0.000206204126191825
ENSG00000268883.2	6	0.352444868505991	0.073267522875123	4.8103833004795	1.50641135410843e-06	0	1	2.55591672932504	0.768051357881434	0.000206204126191825
ENSG00000182230.11	11	-0.0948351246074988	0.0198015430462312	-4.78927952160519	1.67381190701768e-06	0.0113547205142858	1.00011356009957	11.9605619841421	0.287704615574972	0.000226100321926334
ENSG00000184545.10	12	0.100718061317225	0.0210677190449528	4.78068181478592	1.74701679289869e-06	2.70728310023058	1.02782616403877	8.64798025769551	0.65434895634413	0.000234405098816313
ENSG00000180113.15	8	-0.188705853699363	0.0395256502356058	-4.7742631069829	1.80366452386604e-06	0	1	5.30218930733093	0.623138007738458	0.000240392407740866
ENSG00000283886.1	13	0.172710593810893	0.0362827255429234	4.76013285183253	1.93465569313855e-06	0	1	9.58095139907302	0.652670451047945	0.000256143288855801
ENSG00000214688.5	11	-0.141762424738836	0.030189357490281	-4.69577482013236	2.65598007565447e-06	0	1	5.41494430387715	0.861793892267141	0.00034933127416108
ENSG00000022556.15	6	0.262601130261987	0.0559392310555258	4.69440007141547	2.67390278816379e-06	0	1	3.81787536021518	0.575924123470216	0.000349389964320068
ENSG00000253210.1	5	-0.284335925845344	0.0606210899409197	-4.69037963722614	2.72698606772328e-06	0	1	1.64360951404333	0.800933687460826	0.000354012373155349
ENSG00000232656.7	11	-0.171197562548835	0.0365282964105178	-4.68671083438593	2.77630796598409e-06	0	1	7.08920768368694	0.716997221628478	0.000358089992619058
ENSG00000197976.11	12	-0.200773274171683	0.0428646974975476	-4.68388407927454	2.81489242200545e-06	72.3346291131925	3.61462712389249	37.1031715308154	0.000110733592884408	0.000360739290389314
ENSG00000184232.8	12	-0.224066060014186	0.0481225583693371	-4.65615436100666	3.221704248154e-06	49.6720195005793	1.98696627616821	21.5115756433203	0.0284421978225087	0.000410244021204425
